16580	579	19	7	2008-09-06	27	22	-5	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:14.966541	2010-07-06 12:43:14.966541	4	\N	\N
16581	572	19	5	2008-09-06	36	35	-1	\N	\N	\N	13.00	\N	\N	2010-07-06 12:43:15.006477	2010-07-06 12:43:15.006477	2	\N	\N
16582	595	19	7	2008-09-06	31	31	0	...3.....	.........	\N	0.00	\N	\N	2010-07-06 12:43:15.043788	2010-07-06 12:43:15.043788	3	\N	\N
16583	585	19	7	2008-09-06	30	32	2	.........	.....3...	\N	19.00	\N	\N	2010-07-06 12:43:15.081058	2010-07-06 12:43:15.081058	1	\N	\N
16584	574	19	7	2008-09-06	20	16	-4	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:15.125283	2010-07-06 12:43:15.125283	4	\N	\N
16585	629	19	7	2008-09-06	30	29	-1	\N	\N	\N	19.00	\N	\N	2010-07-06 12:43:15.170232	2010-07-06 12:43:15.170232	1	\N	\N
16586	580	20	7	2008-09-08	34	36	2	.........	....4....	\N	16.00	\N	\N	2010-07-06 12:43:15.205373	2010-07-06 12:43:15.205373	1	\N	\N
16587	603	20	7	2008-09-08	31	30	-1	..3......	.........	\N	4.00	\N	\N	2010-07-06 12:43:15.241138	2010-07-06 12:43:15.241138	2	\N	\N
16588	581	20	7	2008-09-08	25	24	-1	\N	\N	\N	4.00	\N	\N	2010-07-06 12:43:15.277139	2010-07-06 12:43:15.277139	5	\N	\N
16589	615	20	7	2008-09-08	29	31	2	\N	\N	\N	16.00	\N	\N	2010-07-06 12:43:15.312772	2010-07-06 12:43:15.312772	4	\N	\N
16590	595	20	7	2008-09-08	31	29	-2	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:15.347542	2010-07-06 12:43:15.347542	3	\N	\N
16591	578	21	6	2008-09-10	27	26	-1	...3.....	.........	\N	24.00	\N	\N	2010-07-06 12:43:15.38361	2010-07-06 12:43:15.38361	3	\N	\N
16592	580	21	7	2008-09-10	34	35	1	....3....	.........	\N	16.00	\N	\N	2010-07-06 12:43:15.418719	2010-07-06 12:43:15.418719	1	\N	\N
16593	603	21	7	2008-09-10	30	26	-4	........2	.........	\N	0.00	\N	\N	2010-07-06 12:43:15.453861	2010-07-06 12:43:15.453861	4	\N	\N
16594	581	21	7	2008-09-10	24	25	1	......3..	.........	\N	0.00	\N	\N	2010-07-06 12:43:15.489101	2010-07-06 12:43:15.489101	2	\N	\N
16595	615	21	7	2008-09-10	29	31	2	.........	.....3...	\N	16.00	\N	\N	2010-07-06 12:43:15.523648	2010-07-06 12:43:15.523648	1	\N	\N
16596	572	21	5	2008-09-10	35	36	1	....3....	.........	\N	0.00	\N	\N	2010-07-06 12:43:15.558388	2010-07-06 12:43:15.558388	2	\N	\N
